"","coef.lower","coef.upper","p","shape.min","shape.max"
"57",2.75,3.25,0.35,5,8.3
"67",3.25,3.75,0.35,4,6.3
"77",3.75,4.25,0.35,3.5,4.3
"87",4.25,4.75,0.35,2.8,3.8
"97",4.75,5.25,0.35,2.3,2.8
"107",5.25,5.75,0.35,2,2.4
"117",5.75,6.25,0.35,1.7,2.1
"127",6.25,6.75,0.35,1.4,1.8
"137",6.75,7.25,0.35,1.35,1.5
"147",7.25,7.75,0.35,1.2,1.4
"157",7.75,8.25,0.35,1,1.3
"167",8.25,8.75,0.35,1,1.1
"177",8.75,9.25,0.35,0.9,1
"187",9.25,9.75,0.35,0.8,0.95
"197",9.75,10.25,0.35,0.75,0.85
"207",10.25,10.75,0.35,0.7,0.8
"8",0.25,0.75,0.4,84,490
"18",0.75,1.25,0.4,29,84
"28",1.25,1.75,0.4,16,29
"38",1.75,2.25,0.4,10,17
"48",2.25,2.75,0.4,6.3,10.3
"58",2.75,3.25,0.4,5,7
"68",3.25,3.75,0.4,3.8,5
"78",3.75,4.25,0.4,2.8,3.8
"88",4.25,4.75,0.4,2.4,3
"98",4.75,5.25,0.4,2.1,2.8
"108",5.25,5.75,0.4,1.8,2.1
"118",5.75,6.25,0.4,1.5,1.8
"128",6.25,6.75,0.4,1.35,1.6
"138",6.75,7.25,0.4,1.2,1.4
"148",7.25,7.75,0.4,1,1.2
"158",7.75,8.25,0.4,0.95,1.1
"168",8.25,8.75,0.4,0.8,1
"178",8.75,9.25,0.4,0.8,0.9
"188",9.25,9.75,0.4,0.7,0.8
"198",9.75,10.25,0.4,0.6,0.8
"208",10.25,10.75,0.4,0.6,0.7
"9",0.25,0.75,0.45,74,490
"19",0.75,1.25,0.45,29,74
"29",1.25,1.75,0.45,13,29
"39",1.75,2.25,0.45,9,15
"49",2.25,2.75,0.45,5.3,9.3
"59",2.75,3.25,0.45,4,6.1
"69",3.25,3.75,0.45,3.3,4.5
"79",3.75,4.25,0.45,2.7,3.4
"89",4.25,4.75,0.45,2.2,2.8
"99",4.75,5.25,0.45,1.8,2.2
"109",5.25,5.75,0.45,1.6,1.9
"119",5.75,6.25,0.45,1.3,1.6
"129",6.25,6.75,0.45,1.15,1.4
"139",6.75,7.25,0.45,1,1.25
"149",7.25,7.75,0.45,0.95,1.1
"159",7.75,8.25,0.45,0.8,1
"169",8.25,8.75,0.45,0.8,0.9
"179",8.75,9.25,0.45,0.7,0.8
"189",9.25,9.75,0.45,0.6,0.75
"199",9.75,10.25,0.45,0.6,0.7
"209",10.25,10.75,0.45,0.5,0.65
"10",0.25,0.75,0.5,74,490
"20",0.75,1.25,0.5,24,74
"30",1.25,1.75,0.5,13,21
"40",1.75,2.25,0.5,8,13
"50",2.25,2.75,0.5,5.3,8.3
"60",2.75,3.25,0.5,4,6
"70",3.25,3.75,0.5,2.8,4.3
"80",3.75,4.25,0.5,2.3,3.1
"90",4.25,4.75,0.5,2,2.5
